Complexity metrics,Wed, 8 Dec 2021 01:33:16 GMT
Method,CogC,ev(G),iv(G),v(G)
"es.grupo9.GitManager.CommitHttpRequest.unpack(Map<String, Object>)",0,1,1,1
"es.grupo9.GitManager.CommitUnpack.CommitUnpack(String,List<CommitHttpRequest>)",0,1,1,1
"es.grupo9.GitManager.CommitsDataGit.CommitsDataGit(ShortInfo,Date,GHUser)",0,1,1,1
"es.grupo9.GitManager.CommitsDataGit.getDate()",0,1,1,1
"es.grupo9.GitManager.CommitsDataGit.getDescription()",0,1,1,1
"es.grupo9.GitManager.CommitsDataGit.getUserName()",0,1,1,1
"es.grupo9.GitManager.GitManager(String,String,String)",0,1,1,1
"es.grupo9.GitManager.commitsInRoot(String)",3,1,3,3
"es.grupo9.GitManager.connect()",1,1,2,2
"es.grupo9.GitManager.getBranchesInRepository()",1,1,2,2
"es.grupo9.GitManager.getCollaborators()",0,1,1,1
"es.grupo9.GitManager.getCommitDataFromRoot()",4,1,3,3
"es.grupo9.GitManager.getCommitReference()",0,1,1,1
"es.grupo9.GitManager.getCommits(String,String)",5,3,2,4
"es.grupo9.GitManager.getFiles()",3,1,3,3
"es.grupo9.GitManager.getGithubBranchName()",0,1,1,1
"es.grupo9.GitManager.getGithubFileName()",0,1,1,1
"es.grupo9.GitManager.getReadMe()",0,1,1,1
"es.grupo9.GitManager.getTag()",3,1,3,3
"es.grupo9.GitManager.getUserDataString(String)",0,1,1,1
"es.grupo9.GitManager.getUserInformation(String,String)",1,1,1,2
"es.grupo9.GitManager.numberOfRepositoriesOwned()",6,1,3,4
"es.grupo9.GitManager.readFileContent(String,String)",0,1,1,1
"es.grupo9.GitManager.setCommitReference(String)",0,1,1,1
"es.grupo9.GitManager.setGithubBranchName(String)",0,1,1,1
"es.grupo9.GitManager.setGithubFileName(String)",0,1,1,1
"es.grupo9.GitManager.userInfo()",1,1,2,2
"es.grupo9.GitManager.userRepositories()",1,1,2,2
"es.grupo9.HelloApplication.main(String[])",0,1,1,1
"es.grupo9.HelloApplication.start(Stage)",0,1,1,1
"es.grupo9.HelloController.actionPerformed(ActionEvent)",5,1,6,6
"es.grupo9.HelloController.createTableColumnArray(TableColumn<Object, Object>,TableColumn<Object, Object>,TableColumn<Object, Object>,TableColumn<Object, Object>)",0,1,1,1
"es.grupo9.HelloController.export(ActionEvent)",1,1,2,2
"es.grupo9.HelloController.gitClick(Event)",3,1,3,3
"es.grupo9.HelloController.searchAction(ActionEvent)",3,1,3,3
"es.grupo9.HelloController.setCommitsComboBox()",5,1,3,3
"es.grupo9.HelloController.setCommitsTable(String)",3,1,3,3
"es.grupo9.HelloController.setDComboBox1()",4,1,3,3
"es.grupo9.HelloController.setDComboBox2()",4,1,3,3
"es.grupo9.HelloController.setDComboBox3()",4,1,3,3
"es.grupo9.HelloController.setDoneTable(int,TableView<Object>,TableColumn<Object, Object>[],PieChart)",1,1,2,2
"es.grupo9.HelloController.setMComboBox1()",4,1,3,3
"es.grupo9.HelloController.setMComboBox2()",4,1,3,3
"es.grupo9.HelloController.setMComboBox3()",4,1,3,3
"es.grupo9.HelloController.setMeetingsTable(int,TableView<Object>,TableColumn<Object, Object>[],PieChart)",1,1,2,2
"es.grupo9.HelloController.setReviewTable(int,TableView<Object>,TableColumn<Object, Object>[],PieChart,PieChart)",1,1,2,2
"es.grupo9.HelloController.setTableCommits(ObservableList<Object>,TableView<Object>,TableColumn<Object, Object>[])",0,1,1,1
"es.grupo9.HelloController.setTableInfo(ObservableList<Object>,ObservableList<Data>,Member,Double[])",0,1,1,1
"es.grupo9.HelloController.setTableItems(ObservableList<Object>,Double[],TableView<Object>,TableColumn<Object, Object>[])",0,1,1,1
"es.grupo9.HelloController.setTableTags(ObservableList<Object>,TableView<Object>,TableColumn<Object, Object>[])",0,1,1,1
"es.grupo9.HelloController.setTabs1(Event)",6,1,5,5
"es.grupo9.HelloController.setTabs2(Event)",6,1,5,5
"es.grupo9.HelloController.setTabs3(Event)",6,1,5,5
"es.grupo9.HelloController.setTagsTable()",1,1,2,2
"es.grupo9.TableData.TableData(String,Double,Double,Double)",0,1,1,1
"es.grupo9.TableData.TableData(String,String)",0,1,1,1
"es.grupo9.TableData.TableData(String,String,String)",0,1,1,1
"es.grupo9.TableData.getActivities()",0,1,1,1
"es.grupo9.TableData.getBranch()",0,1,1,1
"es.grupo9.TableData.getCost()",0,1,1,1
"es.grupo9.TableData.getDate()",0,1,1,1
"es.grupo9.TableData.getDescription()",0,1,1,1
"es.grupo9.TableData.getHours()",0,1,1,1
"es.grupo9.TableData.getMember()",0,1,1,1
"es.grupo9.TableData.getTag()",0,1,1,1
"es.grupo9.TableData.getTagdate()",0,1,1,1
"es.grupo9.TableData.setActivities(Double)",0,1,1,1
"es.grupo9.TableData.setBranch(String)",0,1,1,1
"es.grupo9.TableData.setCost(Double)",0,1,1,1
"es.grupo9.TableData.setDate(String)",0,1,1,1
"es.grupo9.TableData.setDescription(String)",0,1,1,1
"es.grupo9.TableData.setHours(Double)",0,1,1,1
"es.grupo9.TableData.setMember(String)",0,1,1,1
"es.grupo9.TableData.setTag(String)",0,1,1,1
"es.grupo9.TableData.setTagdate(String)",0,1,1,1
"es.grupo9.TrelloManager.TrelloManager(String,String,String)",0,1,1,1
"es.grupo9.TrelloManager.getBeginningDate()",0,1,1,1
"es.grupo9.TrelloManager.getBoardListIdByName(String)",3,3,3,3
"es.grupo9.TrelloManager.getCardHours(String)",6,1,4,4
"es.grupo9.TrelloManager.getCommittedActivitiesByMember(String,int)",0,1,1,1
"es.grupo9.TrelloManager.getFinishedSprintBacklog(int)",0,1,1,1
"es.grupo9.TrelloManager.getMeetings(int)",0,1,1,1
"es.grupo9.TrelloManager.getMemberCount()",0,1,1,1
"es.grupo9.TrelloManager.getMemberIdByName(String)",3,3,3,3
"es.grupo9.TrelloManager.getMembers()",0,1,1,1
"es.grupo9.TrelloManager.getNotCommittedActivitiesByMember(String,int)",1,1,2,2
"es.grupo9.TrelloManager.getProjectName()",0,1,1,1
"es.grupo9.TrelloManager.getSprintCount()",0,1,1,1
"es.grupo9.TrelloManager.getSprintDate(int)",3,1,3,3
"es.grupo9.TrelloManager.getSprintHoursByMember(String,int)",1,1,2,2
"es.grupo9.TrelloManager.getSprintListByName(int,String)",4,3,4,4
"es.grupo9.Utils.exportCSV(TrelloManager,GitManager)",9,1,6,6
"es.grupo9.Utils.getCost(double)",0,1,1,1
"es.grupo9.Utils.getSum(Double[])",3,1,1,3
"es.grupo9.Utils.setPrice(double)",0,1,1,1
"es.grupo9.Utils.writeCSV(List<String>,List<String>,List<String>,List<String>)",4,1,5,5

Class,OCavg,OCmax,WMC
"es.grupo9.GitManager",1.73,2,38
"es.grupo9.GitManager.CommitHttpRequest",1.00,1,1
"es.grupo9.GitManager.CommitUnpack",1.00,1,1
"es.grupo9.GitManager.CommitsDataGit",1.00,1,4
"es.grupo9.HelloApplication",1.00,1,2
"es.grupo9.HelloController",2.46,6,59
"es.grupo9.TableData",1.00,1,21
"es.grupo9.TrelloManager",1.81,4,29
"es.grupo9.Utils",3.20,6,16

Package,v(G)avg,v(G)tot
"es.grupo9",1.90,182

Module,v(G)avg,v(G)tot
"ES-LETI-1Sem-2021-Grupo9_2",1.90,182

Project,v(G)avg,v(G)tot
"project",1.90,182

